Country_name,ISO3,REGION,subregion,regionalbodies,Measure_taxonomy,Measure_Category,Hard measure affecting the population,SOURCE_TYPE,Enforcement_taxonomy,Log_type
Hungary,HUN,Europe,Eastern Europe,European Union,,,,,,
Iceland,ISL,Europe,Northern Europe,,,,,,,
Fiji,FJI,Pacific,Melanesia,,,,,,,
India,IND,Asia,Southern Asia,South Asian Association for Regional Cooperation (SAARC),,,,,,
Iran,IRN,Middle East,Southern Asia,,,,,,,
Iraq,IRQ,Middle East,Western Asia,Arab League,,,,,,
Ireland,IRL,Europe,Northern Europe,European Union,,,,,,
Israel,ISR,Middle East,Western Asia,,,,,,,
Italy,ITA,Europe,Southern Europe,European Union,,,,,,
Jamaica,JAM,Americas,Caribbean,Organization of American States (OAS),,,,,,
Indonesia,IDN,Asia,Southeastern Asia,Association of Southeast Asian Nations (ASEAN),,,,,,
Jordan,JOR,Middle East,Western Asia,Arab League,,,,,,
Japan,JPN,Asia,Eastern Asia,,,,,,,
Kenya,KEN,Africa,Eastern Africa,African Union,,,,,,
Kazakhstan,KAZ,Asia,Central Asia,,,,,,,
Kiribati,KIR,Pacific,Micronesia,,,,,,,
Korea DPR,PRK,Asia,Eastern Asia,,,,,,,
Kuwait,KWT,Middle East,Western Asia,Arab League,,,,,,
Korea Republic of,KOR,Asia,Eastern Asia,,,,,,,
Kyrgyzstan,KGZ,Asia,Central Asia,,,,,,,
Latvia,LVA,Europe,Northern Europe,European Union,,,,,,
Lebanon,LBN,Middle East,Western Asia,Arab League,,,,,,
Lesotho,LSO,Africa,Southern Africa,African Union,,,,,,
Liberia,LBR,Africa,Western Africa,African Union,,,,,,
Libya,LBY,Africa,Northern Africa,African Union,,,,,,
Liechtenstein,LIE,Europe,Western Europe,,,,,,,
Lithuania,LTU,Europe,Northern Europe,European Union,,,,,,
Luxembourg,LUX,Europe,Western Europe,European Union,,,,,,
Madagascar,MDG,Africa,Eastern Africa,African Union,,,,,,
Malawi,MWI,Africa,Eastern Africa,African Union,,,,,,
Lao PDR,LAO,Asia,Southeastern Asia,Association of Southeast Asian Nations (ASEAN),,,,,,
Malaysia,MYS,Asia,Southeastern Asia,Association of Southeast Asian Nations (ASEAN),,,,,,
Mali,MLI,Africa,Western Africa,African Union,,,,,,
Malta,MLT,Europe,Southern Europe,European Union,,,,,,
Maldives,MDV,Asia,Southern Asia,South Asian Association for Regional Cooperation (SAARC),,,,,,
Mauritania,MRT,Africa,Western Africa,"African Union, Arab League",,,,,,
Mauritius,MUS,Africa,Eastern Africa,African Union,,,,,,
Mexico,MEX,Americas,Central America,Organization of American States (OAS),,,,,,
Marshall Islands,MHL,Pacific,Micronesia,,,,,,,
Moldova Republic of,MDA,Europe,Eastern Europe,,,,,,,
Micronesia,FSM,Pacific,Micronesia,,,,,,,
Montenegro,MNE,Europe,Southern Europe,,,,,,,
Morocco,MAR,Africa,Northern Africa,"African Union, Arab League",,,,,,
Mozambique,MOZ,Africa,Eastern Africa,African Union,,,,,,
Mongolia,MNG,Asia,Eastern Asia,,,,,,,
Namibia,NAM,Africa,Southern Africa,African Union,,,,,,
Myanmar,MMR,Asia,Southeastern Asia,Association of Southeast Asian Nations (ASEAN),,,,,,
Nauru,NRU,Pacific,Micronesia,,,,,,,
Netherlands,NLD,Europe,Western Europe,European Union,,,,,,
Nepal,NPL,Asia,Southern Asia,South Asian Association for Regional Cooperation (SAARC),,,,,,
Nicaragua,NIC,Americas,Central America,Organization of American States (OAS),,,,,,
Niger,NER,Africa,Western Africa,African Union,,,,,,
Nigeria,NGA,Africa,Western Africa,African Union,,,,,,
Norway,NOR,Europe,Northern Europe,,,,,,,
Oman,OMN,Middle East,Western Asia,Arab League,,,,,,
New Zealand,NZL,Pacific,Australia and New Zealand,,,,,,,
Pakistan,PAK,Asia,Southern Asia,South Asian Association for Regional Cooperation (SAARC),,,,,,
Palestine,PSE,Middle East,Western Asia,Arab League,,,,,,
Panama,PAN,Americas,Central America,Organization of American States (OAS),,,,,,
Palau,PLW,Pacific,Micronesia,,,,,,,
Paraguay,PRY,Americas,South America,Organization of American States (OAS),,,,,,
Peru,PER,Americas,South America,Organization of American States (OAS),,,,,,
Papua New Guinea,PNG,Pacific,Melanesia,,,,,,,
Poland,POL,Europe,Eastern Europe,European Union,,,,,,
Portugal,PRT,Europe,Southern Europe,,,,,,,
Qatar,QAT,Middle East,Western Asia,Arab League,,,,,,
Romania,ROU,Europe,Eastern Europe,European Union,,,,,,
Russian Federation,RUS,Europe,Eastern Europe,,,,,,,
Rwanda,RWA,Africa,Eastern Africa,African Union,,,,,,
Saint Kitts and Nevis,KNA,Americas,Caribbean,Organization of American States (OAS),,,,,,
Saint Lucia,LCA,Americas,Caribbean,Organization of American States (OAS),,,,,,
Saint Vincent and the Grenadines,VCT,Americas,Caribbean,Organization of American States (OAS),,,,,,
Philippines,PHL,Asia,Southeastern Asia,Association of Southeast Asian Nations (ASEAN),,,,,,
Sao Tome and Principe,STP,Africa,Middle Africa,African Union,,,,,,
Saudi Arabia,SAU,Middle East,Western Asia,Arab League,,,,,,
Senegal,SEN,Africa,Western Africa,African Union,,,,,,
Serbia,SRB,Europe,Southern Europe,,,,,,,
Seychelles,SYC,Africa,Eastern Africa,African Union,,,,,,
Sierra Leone,SLE,Africa,Western Africa,African Union,,,,,,
Samoa,WSM,Pacific,Polynesia,,,,,,,
Slovakia,SVK,Europe,Eastern Europe,European Union,,,,,,
Slovenia,SVN,Europe,Southern Europe,European Union,,,,,,
Singapore,SGP,Asia,Southeastern Asia,Association of Southeast Asian Nations (ASEAN),,,,,,
Somalia,SOM,Africa,Eastern Africa,"African Union, Arab League",,,,,,
South Africa,ZAF,Africa,Southern Africa,African Union,,,,,,
South Sudan,SSD,Africa,Eastern Africa,African Union,,,,,,
Spain,ESP,Europe,Southern Europe,European Union,,,,,,
Solomon Islands,SLB,Pacific,Melanesia,,,,,,,
Sudan,SDN,Africa,Northern Africa,African Union,,,,,,
Suriname,SUR,Americas,South America,Organization of American States (OAS),,,,,,
Eswatini,SWZ,Africa,Southern Africa,African Union,,,,,,
Sweden,SWE,Europe,Northern Europe,European Union,,,,,,
Switzerland,CHE,Europe,Western Europe,,,,,,,
Syria,SYR,Middle East,Western Asia,Arab League,,,,,,
Sri Lanka,LKA,Asia,Southern Asia,South Asian Association for Regional Cooperation (SAARC),,,,,,
Tanzania,TZA,Africa,Eastern Africa,African Union,,,,,,
Tajikistan,TJK,Asia,Central Asia,,,,,,,
North Macedonia Republic Of,MKD,Europe,Southern Europe,,,,,,,
Thailand,THA,Asia,Southeastern Asia,Association of Southeast Asian Nations (ASEAN),,,,,,
Togo,TGO,Africa,Western Africa,African Union,,,,,,
Timor-Leste,TLS,Asia,Southeastern Asia,,,,,,,
Trinidad and Tobago,TTO,Americas,Caribbean,Organization of American States (OAS),,,,,,
Tunisia,TUN,Africa,Northern Africa,"African Union, Arab League",,,,,,
Turkey,TUR,Middle East,Western Asia,Arab League,,,,,,
Tonga,TON,Pacific,Polynesia,,,,,,,
Turkmenistan,TKM,Asia,Central Asia,,,,,,,
Uganda,UGA,Africa,Eastern Africa,African Union,,,,,,
Ukraine,UKR,Europe,Eastern Europe,,,,,,,
United Arab Emirates,ARE,Middle East,Western Asia,Arab League,,,,,,
United Kingdom,GBR,Europe,Northern Europe,,,,,,,
United States of America,USA,Americas,North America,Organization of American States (OAS),,,,,,
Uruguay,URY,Americas,South America,Organization of American States (OAS),,,,,,
Tuvalu,TUV,Pacific,Polynesia,,,,,,,
Uzbekistan,UZB,Asia,Central Asia,,,,,,,
Venezuela,VEN,Americas,South America,Organization of American States (OAS),,,,,,
Vanuatu,VUT,Pacific,Melanesia,,,,,,,
Yemen,YEM,Middle East,Western Asia,Arab League,,,,,,
Zambia,ZMB,Africa,Eastern Africa,African Union,,,,,,
Zimbabwe,ZWE,Africa,Eastern Africa,African Union,,,,,,
San Marino,SMR,Europe,Southern Europe,,,,,,,
Viet Nam,VNM,Asia,Southeastern Asia,ASEAN,,,,,,
